paper_id,title,year,paper_type,venue,authors,doi,arxiv,url,status,datasets,public_datasets,manufacturing_dataset_candidates,methods,tasks,domains,metrics,synthesis_candidate,candidate_match_location,synthesis_families,source_note
sha256:b5bf9b951bcb7a7ee05f2972337e76e762d85c14041c047720e7cde20259dcb2,A Data Generation Method with Dual Discriminators and Regularization for Surface Defect Detection Under Limited Data,2023,research,Computers in Industry,Boheng Liu | Tianrui Zhang | Yao Yu | Ligang Miao,10.1016/j.compind.2023.103963,,https://doi.org/10.1016/j.compind.2023.103963,processed,GC10-DET | NEU-CLS | SAPF,GC10-DET | Northeastern University (NEU) surface defect database,GC10-DET | Northeastern University (NEU) surface defect database,Dual-discriminator GAN regularization | GAN | GAN-based surface defect augmentation | Data augmentation | Synthetic data generation,Defect detection | Defect segmentation,Multi-industry anomaly detection,FID | Surface Defect Score | mAP@0.50 | mAP,yes,structured metadata,GAN-based generation,Papers/Research/2023 - A Data Generation Method with Dual Discriminators and Regularization for Surface Defect Detection Under Limited Data.md
sha256:798ee3633148b26064ead03f6245f8a44cbae5d092e78ca32e828d0dd11a2755,A Deep-Learning-Based Approach for Aircraft Engine Defect Detection,2023,research,Machines,Anurag Upadhyay | Jun Li | Steve King | Sri Addepalli,10.3390/machines11020192,,https://doi.org/10.3390/machines11020192,processed,Compressor blade borescope images,Compressor blade borescope images,Compressor blade borescope images,U-Net | DCGAN | Pix2Pix | motion deblurring | computer vision preprocessing,Defect segmentation,Aircraft maintenance,Accuracy | Precision | Recall,yes,structured metadata,GAN-based generation,Papers/Research/2023 - A Deep-Learning-Based Approach for Aircraft Engine Defect Detection.md
doi:10.1109/tase.2022.3204368,A Feature Memory Rearrangement Network for Visual Inspection of Textured Surface Defects Toward Edge Intelligent Manufacturing,2023,research,IEEE Transactions on Automation Science and Engineering,Haiming Yao | Wenyong Yu | Xue Wang,10.1109/TASE.2022.3204368,,https://doi.org/10.1109/TASE.2022.3204368,processed,MVTec AD | DAGM | RSDDs | Printed product surface dataset,MVTec AD,MVTec AD,FMR-Net | Unsupervised anomaly detection | Unsupervised anomaly localization | Synthetic data generation | Edge intelligence,Surface defect detection | Defect segmentation | Industrial anomaly detection,Smart manufacturing | Multi-industry anomaly detection,AUC ROC | Precision | Recall | F1-measure | average inference time,yes,structured metadata,other generative synthesis,Papers/Research/2023 - A Feature Memory Rearrangement Network for Visual Inspection of Textured Surface Defects.md
doi:10.1109/tim.2022.3232649,A New Contrastive GAN With Data Augmentation for Surface Defect Recognition Under Limited Data,2023,research,IEEE Transactions on Instrumentation and Measurement,Zongwei Du | Liang Gao | Xinyu Li,10.1109/tim.2022.3232649,,,processed,NEU-CLS | PCB defect recognition dataset,Northeastern University (NEU) surface defect database,Northeastern University (NEU) surface defect database,Contrastive GAN | GAN | Data augmentation | Learned generative synthesis,Defect classification | Surface defect detection,Multi-industry anomaly detection,Accuracy | F1-score | FID | MMD | Inference time,yes,structured metadata,GAN-based generation,Papers/Research/2023 - A New Contrastive GAN With Data Augmentation for Surface Defect Recognition Under Limited Data.md
sha256:5f7c5c4adb86d6b96a30eceef1702c76576481df7ed220e9a8c21f56f75a0ec4,A Survey on Unsupervised Anomaly Detection Algorithms for Industrial Images,2023,review,IEEE Access,Yajie Cui | Zhaoxiang Liu | Shiguo Lian,10.1109/access.2023.3282993,,https://doi.org/10.1109/ACCESS.2023.3282993,processed,AITEX | DAGM2007 | MVTec AD,AITEX | DAGM2007 | MVTec AD,AITEX | DAGM2007 | MVTec AD,Unsupervised anomaly detection | Data augmentation | Synthetic data generation,Industrial anomaly detection,Multi-industry anomaly detection,AU-ROC,yes,structured metadata,other generative synthesis,Papers/Review/2023 - A Survey on Unsupervised Anomaly Detection Algorithms for Industrial Images.md
doi:10.3390/jimaging9100193,A Systematic Review on Deep Learning with CNNs Applied to Surface Defect Detection,2023,review,Journal of Imaging,Esteban Cumbajin | Nuno Rodrigues | Paulo Costa | Rolando Miragaia | Luis Frazao | Nuno Costa | Antonio Fernandez-Caballero | Jorge Carneiro | Leire H. Buruberri | Antonio Pereira,10.3390/jimaging9100193,,https://doi.org/10.3390/jimaging9100193,processed,,,,Deep convolutional neural network | Data augmentation,Surface defect detection | Defect classification | Object detection | Defect segmentation,Industrial visual inspection,,no,note body,,Papers/Review/2023 - A Systematic Review on Deep Learning with CNNs Applied to Surface Defect Detection.md
sha256:b6478659a3c96712e94d66c4ebf9c2e7523fc748b850e46f5e69c7c81f30f172,ALADA: A Lite Automatic Data Augmentation Framework for Industrial Defect Detection,2023,research,Advanced Engineering Informatics,Yuxuan Wang | Sai-Ho Chung | Waqar Ahmed Khan | Tianteng Wang | David Jingjun Xu,10.1016/j.aei.2023.102205,,https://doi.org/10.1016/j.aei.2023.102205,processed,Tianchi-TILE | GC10-DET | NEU-DET,GC10-DET | NEU-DET | Tianchi-TILE,GC10-DET | NEU-DET | Tianchi-TILE,ALADA | Data augmentation | Automatic data augmentation | Policy gradient sampling | Deep convolutional neural network,Surface defect detection | Object detection,Multi-industry anomaly detection,mAP,yes,note body,GAN-based generation,Papers/Research/2023 - ALADA A Lite Automatic Data Augmentation Framework for Industrial Defect Detection.md
sha256:3a5172d27b26501db26ec13b5d2237aa96bfcaf1b79783c109dfffe6634266b7,An End-to-End Steel Surface Classification Approach Based on EDCGAN and MobileNet V2,2023,research,Sensors,Ge Jin | Yanghe Liu | Peiliang Qin | Rongjing Hong | Tingting Xu | Guoyu Lu,10.3390/s23041953,,https://doi.org/10.3390/s23041953,processed,NEU-CLS,Northeastern University (NEU) surface defect database,Northeastern University (NEU) surface defect database,EDCGAN | GAN | Data augmentation,Defect classification | Metallic surface defect detection,Metal inspection,Accuracy | Precision | Recall,yes,structured metadata,GAN-based generation,Papers/Research/2023 - An End-to-End Steel Surface Classification Approach Based on EDCGAN and MobileNet V2.md
sha256:3424fc0a073f3136da20a2c3ccb31d8b69bb3fdf79b33d298b1e6785441a0ecd,Attention-Conditioned Augmentations for Self-Supervised Anomaly Detection and Localization,2023,research,AAAI 2023,Behzad Bozorgtabar | Dwarikanath Mahapatra,,,,processed,MVTec AD,MVTec AD,MVTec AD,Data augmentation | Defect synthesis | Synthetic data generation,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC,yes,structured metadata,other generative synthesis,Papers/Research/2023 - Attention-Conditioned Augmentations for Self-Supervised Anomaly Detection and Localization.md
doi:10.1007/s00521-022-08112-5,Automated Steel Surface Defect Detection and Classification Using a New Deep Learning-Based Approach,2023,research,Neural Computing and Applications,Kursat Demir | Mustafa Ay | Mehmet Cavas | Fatih Demir,10.1007/s00521-022-08112-5,,https://doi.org/10.1007/s00521-022-08112-5,processed,Severstal Steel Defect Dataset,Severstal Steel Defect Dataset,Severstal Steel Defect Dataset,Parallel attention-residual CNN | NCA-ReliefF Matched Index feature selection | Support vector machine,Defect classification,Metal inspection,Accuracy | Precision | Recall | F-measure,no,none,,Papers/Research/2023 - Automated Steel Surface Defect Detection and Classification Using a New Deep Learning-Based Approach.md
doi:10.1109/tits.2023.3258480,CarDD: A New Dataset for Vision-Based Car Damage Detection,2023,dataset,IEEE Transactions on Intelligent Transportation Systems,Xinkuang Wang | Wenjing Li | Zhongcheng Wu,10.1109/tits.2023.3258480,,https://doi.org/10.1109/TITS.2023.3258480,processed,CarDD,CarDD,CarDD,DCN+ | Multi-scale learning | Focal loss,Car damage detection | Defect classification | Defect segmentation | Salient object detection,Automotive damage assessment,Accuracy | Precision | Recall | Average precision | IoU | F-measure | Weighted F-measure | S-measure | E-measure | Mean Absolute Error,yes,note body,other generative synthesis,Papers/Dataset/2023 - CarDD A New Dataset for Vision-Based Car Damage Detection.md
arxiv:2302.08769,Collaborative Discrepancy Optimization for Reliable Image Anomaly Localization,2023,research,IEEE Transactions on Industrial Informatics,Yunkang Cao | Xiaohao Xu | Zhaoge Liu | Weiming Shen,,2302.08769,https://arxiv.org/abs/2302.08769,processed,MVTec2D | MVTec3D | Automotive plastic parts dataset,MVTec AD | MVTec3D,MVTec AD | MVTec3D,CDO | Unsupervised anomaly localization | Unsupervised anomaly detection | Defect synthesis,Defect segmentation | Industrial anomaly detection,Smart manufacturing | Automotive manufacturing | Multi-industry anomaly detection,AU-ROC | AU-PRO | FPS,yes,structured metadata,other generative synthesis,Papers/Research/2023 - Collaborative Discrepancy Optimization for Reliable Image Anomaly Localization.md
doi:10.1155/2023/2024237,Conditional TransGAN-Based Data Augmentation for PCB Electronic Component Inspection,2023,research,Computational Intelligence and Neuroscience,Chenglong Wang | Guanghan Huang | Zhiyuan Huang | Weiming He,10.1155/2023/2024237,,https://doi.org/10.1155/2023/2024237,processed,PCB electronic component inspection dataset | DeepPCB,DeepPCB,DeepPCB,cTransGAN | GAN | Data augmentation | Synthetic data generation | Transformers,PCB defect detection | PCB defect classification,Semiconductor and electronics,mAP,yes,structured metadata,GAN-based generation,Papers/Research/2023 - Conditional TransGAN-Based Data Augmentation for PCB Electronic Component Inspection.md
doi:10.1007/978-3-031-31407-0_14,Cost Efficient Defect Detection in Bangle Industry Using Transfer Learning,2023,research,Computer Vision and Image Processing,Anuranjan Dubey | Abhinandan Dubey,10.1007/978-3-031-31407-0_14,,https://doi.org/10.1007/978-3-031-31407-0_14,processed,Glass Bangle Defect Detection Classification,Glass Bangle Defect Detection Classification,Glass Bangle Defect Detection Classification,Transfer learning | ResNet50 | Support vector machine,Glass bangle defect classification | Defect classification,,Accuracy | Precision | Recall | F1-score,no,none,,Papers/Research/2023 - Cost Efficient Defect Detection in Bangle Industry Using Transfer Learning.md
doi:10.1016/j.compind.2023.103911,Deep CNN-Based Visual Defect Detection Survey of Current Literature,2023,review,Computers in Industry,Shashi Bhushan Jha | Radu F. Babiceanu,10.1016/j.compind.2023.103911,,https://doi.org/10.1016/j.compind.2023.103911,processed,,,,Deep convolutional neural network | Data augmentation | GAN | U-Net | Unsupervised anomaly detection,Surface defect detection | Defect classification | Object detection | Defect segmentation,Industrial visual inspection,mAP | Dice score | Segmentation metrics,no,structured metadata,,Papers/Review/2023 - Deep CNN-Based Visual Defect Detection Survey of Current Literature.md
sha256:da029fac51ab3ee6b21347ac6e045c39e73700733838c413fd77f8120139981a,Deep Convolutional Generative Adversarial Networks-Based Data Augmentation Method for Classifying Class-Imbalanced Defect Patterns in Wafer Bin Map,2023,research,Applied Sciences,Sangwoo Park | Cheolwoo You,10.3390/app13095507,,https://doi.org/10.3390/app13095507,processed,WM-811K,WM-811K,WM-811K,DCGAN wafer map augmentation | DCGAN | Data augmentation,Wafer map defect classification | Defect classification,Semiconductor and electronics,Accuracy | PGI,yes,structured metadata,GAN-based generation,Papers/Research/2023 - Deep Convolutional GAN-Based Data Augmentation for Class-Imbalanced Wafer Bin Map Defect Patterns.md
sha256:48e61e01936126d4c184169dc6cdf7d42649e2568a6dc5371bde56a3dcb919f2,Deep Learning Based Online Metallic Surface Defect Detection Method for Wire and Arc Additive Manufacturing,2023,research,Robotics and Computer-Integrated Manufacturing,Wenhao Li | Haiou Zhang | Guilan Wang | Gang Xiong | Meihua Zhao | Guokuan Li | Runsheng Li,10.1016/j.rcim.2022.102470,,https://doi.org/10.1016/j.rcim.2022.102470,processed,WAAM metallic surface defect dataset,,,YOLO-attention | YOLOv4,Additive manufacturing defect detection | Metallic surface defect detection,Metal inspection | Smart manufacturing,mAP@0.50 | FPS,no,none,,Papers/Research/2023 - Deep Learning Based Online Metallic Surface Defect Detection Method for Wire and Arc Additive Manufacturing.md
doi:10.1109/access.2023.3271748,Deep Learning for Automatic Vision-Based Recognition of Industrial Surface Defects: A Survey,2023,review,IEEE Access,Michela Prunella | Roberto Maria Scardigno | Domenico Buongiorno | Antonio Brunetti | Nicola Longo | Raffaele Carli | Mariagrazia Dotoli | Vitoantonio Bevilacqua,10.1109/access.2023.3271748,,https://doi.org/10.1109/ACCESS.2023.3271748,processed,,,,GAN | Data augmentation | Synthetic data generation,Industrial anomaly detection | Defect classification | Defect segmentation,Multi-industry anomaly detection | Textile and fiber inspection,,no,structured metadata,,Papers/Review/2023 - Deep Learning for Automatic Vision-Based Recognition of Industrial Surface Defects A Survey.md
sha256:b565a46ef5a7a31284192bff7914db52cf128258853ad561312eb8f74488c300,Deep-Learning-Based Automatic Detection of Photovoltaic Cell Defects in Electroluminescence Images,2023,research,Sensors,Junjie Wang | Li Bi | Pengxiang Sun | Xiaogang Jiao | Xunde Ma | Xinyi Lei | Yongbin Luo,10.3390/s23010297,,https://doi.org/10.3390/s23010297,processed,ELPV Dataset | PVEL-AD,ELPV Dataset | PVEL-AD,ELPV Dataset | PVEL-AD,Data augmentation | Coordinate attention | class weighting,Solar cell defect detection | Defect classification,Solar cells and photovoltaic,Accuracy | F1-score | Recall | Precision,yes,note body,other generative synthesis,Papers/Research/2023 - Deep-Learning-Based Automatic Detection of Photovoltaic Cell Defects in Electroluminescence Images.md
doi:10.3390/a16020095,Defect Detection Methods for Industrial Products Using Deep Learning Techniques A Review,2023,review,Algorithms,Alireza Saberironaghi | Jing Ren | Moustafa El-Gindy,10.3390/a16020095,,https://doi.org/10.3390/a16020095,processed,,,,Deep convolutional neural network | Data augmentation | GAN | Unsupervised anomaly detection,Surface defect detection | Defect classification | Object detection | Defect segmentation,Industrial visual inspection,Accuracy | mAP | AU-ROC,no,structured metadata,,Papers/Review/2023 - Defect Detection Methods for Industrial Products Using Deep Learning Techniques A Review.md
doi:10.1109/idaacs58523.2023.10348813,Defects Localization in Images Using Deep Learning-based Classification with CAM Output,2023,research,IEEE IDAACS,Rytis Augustauskas | Lukas Zabulis | Arnas Lipnickas | Simas Jokubauskas,10.1109/IDAACS58523.2023.10348813,,https://doi.org/10.1109/IDAACS58523.2023.10348813,processed,BSData | Oliena glass bottle defects | PCB defects,BSData,BSData,class activation mapping,Defect classification | Defect segmentation,Metal inspection,Accuracy | Precision | Recall | F1-score | IoU,yes,note body,other generative synthesis,Papers/Research/2023 - Defects Localization in Images Using Deep Learning-Based Classification with CAM Output.md
sha256:af4f908ba80d15a0679160c931bda08e74f1069895ab157985f6cbf81f60f8f8,DG-GAN: A High Quality Defect Image Generation Method for Defect Detection,2023,research,Sensors,Xiangjie He | Zhongqiang Luo | Quanyang Li | Hongbo Chen | Feng Li,10.3390/s23135922,,https://doi.org/10.3390/s23135922,processed,NEU-CLS | IP-def,Northeastern University (NEU) surface defect database,Northeastern University (NEU) surface defect database,DG-GAN | GAN | Data augmentation,Surface defect detection | Object detection,Metal inspection | Electrical power equipment inspection,FID | mAP@0.50,yes,structured metadata,GAN-based generation,Papers/Research/2023 - DG-GAN A High Quality Defect Image Generation Method for Defect Detection.md
doi:10.1109/tpami.2023.3261988,Diffusion Models in Vision: A Survey,2023,review,IEEE Transactions on Pattern Analysis and Machine Intelligence,Florinel-Alin Croitoru | Vlad Hondru | Radu Tudor Ionescu | Mubarak Shah,10.1109/TPAMI.2023.3261988,,,processed,,,,Diffusion models | Variational Autoencoder | GAN,Generative modeling | Image-to-image translation | Scientific image generation,General computer vision,FID | Inception Score | Log likelihood,no,structured metadata,,Papers/Review/2023 - Diffusion Models in Vision A Survey.md
sha256:0601348c486bba84eee11b712b7449110aaf8ed348b36e8ce0bf82064e078c58,Diversified and Multi-Class Controllable Industrial Defect Synthesis for Data Augmentation and Transfer,2023,research,CVPR Workshops 2023,Jing Wei | Fei Shen | Chengkan Lv | Zhengtao Zhang | Feng Zhang | Huabin Yang,,,https://openaccess.thecvf.com/content/CVPR2023W/VAND/html/Wei_Diversified_and_Multi-Class_Controllable_Industrial_Defect_Synthesis_for_Data_Augmentation_CVPRW_2023_paper.html,processed,MVTec AD | Metal Phone Band Dataset,MVTec AD,MVTec AD,Diversified controllable defect synthesis | Poisson defect image augmentation | Synthetic data generation | Data augmentation,Defect segmentation | Surface defect detection,Multi-industry anomaly detection,AU-ROC | F1-score,yes,structured metadata,other generative synthesis,Papers/Research/2023 - Diversified and Multi-Class Controllable Industrial Defect Synthesis for Data Augmentation and Transfer.md
doi:10.1109/msn60784.2023.00049,DPG-DT: Differentially Private Generative Digital Twin for Imbalanced Learning in Industrial IoT,2023,research,IEEE MSN,Siyuan Li | Xi Lin | Gaolei Li | Lixing Chen | Siyi Liao | Jing Wang | Jianhua Li,10.1109/MSN60784.2023.00049,,https://doi.org/10.1109/MSN60784.2023.00049,processed,NEU-CLS | DeepPCB,DeepPCB | Northeastern University (NEU) surface defect database,DeepPCB | Northeastern University (NEU) surface defect database,DPG-DT | Synthetic data generation | GAN | Data augmentation,Defect classification,Metal inspection | Semiconductor and electronics,Accuracy | FID | Inception Score,yes,structured metadata,GAN-based generation,Papers/Research/2023 - DPG-DT Differentially Private Generative Digital Twin for Imbalanced Learning in Industrial IoT.md
doi:10.1109/tii.2022.3182781,EID-GAN: Generative Adversarial Nets for Extremely Imbalanced Data Augmentation,2023,research,IEEE Transactions on Industrial Informatics,Wei Li | Jinlin Chen | Jiannong Cao | Chao Ma | Jia Wang | Xiaohui Cui | Ping Chen,10.1109/tii.2022.3182781,,https://doi.org/10.1109/TII.2022.3182781,processed,Fabric Dataset | Piston Dataset | DAGM,,,EID-GAN | GAN | Data augmentation,Surface defect detection | Defect classification,Multi-industry anomaly detection,F1-score | Recall | Precision | False alarm rate,no,structured metadata,,Papers/Research/2023 - EID-GAN Generative Adversarial Nets for Extremely Imbalanced Data Augmentation.md
sha256:392c918e8c501e0f0ff460f0a6cc0bb8174a6df100257d2a55df60067a969c22,Few-Shot Defect Image Generation via Defect-Aware Feature Manipulation,2023,research,AAAI 2023,Yuxuan Duan | Yan Hong | Li Niu | Liqing Zhang,,,https://ojs.aaai.org/index.php/AAAI/article/view/25135,processed,MVTec AD,MVTec AD,MVTec AD,Defect-aware feature manipulation | DFMGAN | StyleGAN2 | GAN | Data augmentation,Defect classification | Surface defect detection,Multi-industry anomaly detection,KID | LPIPS | Accuracy,yes,structured metadata,GAN-based generation,Papers/Research/2023 - Few-Shot Defect Image Generation via Defect-Aware Feature Manipulation.md
doi:10.1016/j.compind.2023.103901,Few-shot semantic segmentation for industrial defect recognition,2023,dataset,Computers in Industry,Xiangwen Shi | Shaobing Zhang | Miao Cheng | Lian He | Xianghong Tang | Zhe Cui,10.1016/j.compind.2023.103901,,https://doi.org/10.1016/j.compind.2023.103901,processed,Industrial-5i | MVTec AD | KolektorSDD | KolektorSDD2 | Magnetic Tile Defects | RSDDs | BSData,BSData | Industrial-5i | KolektorSDD | KolektorSDD2 | Magnetic Tile Defects | MVTec AD,BSData | Industrial-5i | KolektorSDD | KolektorSDD2 | Magnetic Tile Defects | MVTec AD,IndustrialNet | Few-shot anomaly detection | ResNet50 | U-Net,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,mIoU | FB-IoU,no,none,,Papers/Dataset/2023 - Few-shot semantic segmentation for industrial defect recognition.md
sha256:337261a38e08a92e831d51766381541ca0bbcd5039c7442e2a06e91b6b583d96,GBH-YOLOv5: Ghost Convolution with BottleneckCSP and Tiny Target Prediction Head Incorporating YOLOv5 for PV Panel Defect Detection,2023,research,Electronics,Longlong Li | Zhifeng Wang | Tingting Zhang,10.3390/electronics12030561,,https://doi.org/10.3390/electronics12030561,processed,PV-Multi-Defect,PV-Multi-Defect,PV-Multi-Defect,GBH-YOLOv5 | YOLOv5 | Ghost module,PV panel fault detection | Object detection,Solar cells and photovoltaic,mAP | Precision | Recall,no,none,,Papers/Research/2023 - GBH-YOLOv5 Ghost Convolution with BottleneckCSP and Tiny Target Prediction Head Incorporating YOLOv5 for PV Panel Defect Detection.md
sha256:d3cc52c822c6b930e3fc7f82b844bd888aab3a5f4d56afa6c5c54b6e34e7b504,IDD-Net: Industrial defect detection method based on Deep-Learning,2023,research,Engineering Applications of Artificial Intelligence,Zekai Zhang | Mingle Zhou | Honglin Wan | Min Li | Gang Li | Delong Han,10.1016/j.engappai.2023.106390,,https://doi.org/10.1016/j.engappai.2023.106390,processed,NEU-DET | Baidu aluminium surface defect dataset | DeepPCB | BBMP,DeepPCB | NEU-DET,DeepPCB | NEU-DET,IDD-Net | LGB-Net | TFLA-Net | Multi-scale feature fusion | Defect-IoU loss | Ghost module | YOLOv5,Defect detection | Object detection | Metallic surface defect detection | PCB defect detection | Glass container defect detection,Multi-industry anomaly detection,mAP@0.50 | mAP@0.50-0.95 | Precision | Recall | F1-score | GFLOPs | FPS,yes,note body,other generative synthesis,Papers/Research/2023 - IDD-Net Industrial Defect Detection Method Based on Deep-Learning.md
doi:10.1007/s12652-021-03688-7,Industrial Object and Defect Recognition Utilizing Multilevel Feature Extraction from Industrial Scenes with Deep Learning Approach,2023,research,Journal of Ambient Intelligence and Humanized Computing,Ioannis D. Apostolopoulos | Mpesiana A. Tzani,10.1007/s12652-021-03688-7,,https://doi.org/10.1007/s12652-021-03688-7,processed,Six public industrial image datasets,,,Multipath VGG19 | VGG19 | Transfer learning | Data augmentation,Industrial object recognition | Defect classification,Multi-industry anomaly detection,Accuracy | Precision | Recall | F1-score | AUC,no,none,,Papers/Research/2023 - Industrial Object and Defect Recognition Utilizing Multilevel Feature Extraction.md
sha256:dc16b34b08bf5426ed902268a10403a5641eeddf372215cf4404092e2908410b,Intraclass Image Augmentation for Defect Detection Using Generative Adversarial Neural Networks,2023,research,Sensors,Vignesh Sampath | Inaki Maurtua | Juan Jose Aguilar Martin | Ander Iriondo | Iker Lluvia | Gotzone Aizpurua,10.3390/s23041861,,https://doi.org/10.3390/s23041861,processed,Magnetic Particle Inspection Dataset,,,Magna-Defect-GAN | GAN | Data augmentation | Defect synthesis | Pix2Pix | CycleGAN,Surface defect detection | Defect classification,Metal inspection,Precision | Recall | F1-score | Accuracy | FID | Inception Score,no,structured metadata,,Papers/Research/2023 - Intraclass Image Augmentation for Defect Detection Using Generative Adversarial Neural Networks.md
arxiv:2307.08059,LafitE: Latent Diffusion Model with Feature Editing for Unsupervised Multi-class Anomaly Detection,2023,research,arXiv,Haonan Yin | Guanlong Jiao | Qianhui Wu | Borje F. Karlsson | Biqing Huang | Chin-Yew Lin,,2307.08059,https://arxiv.org/abs/2307.08059,processed,MPDD,MPDD,MPDD,LafitE | Diffusion models | Data augmentation,Industrial anomaly detection | Unsupervised anomaly detection,Metal inspection,AU-ROC | AU-PR,yes,structured metadata,diffusion-based generation,Papers/Research/2023 - LafitE Latent Diffusion Model with Feature Editing for Unsupervised Multi-class Anomaly Detection.md
doi:10.1038/s41598-023-47716-2,Metal surface defect detection based on improved YOLOv5,2023,research,Scientific Reports,Chuande Zhou | Zhenyu Lu | Zhongliang Lv | Minghui Meng | Yonghu Tan | Kewen Xia | Kang Liu | Hailun Zuo,10.1038/s41598-023-47716-2,,https://doi.org/10.1038/s41598-023-47716-2,processed,GC10-DET,GC10-DET,GC10-DET,CSPLayer | Global Attention Mechanism | Data augmentation,Object detection | Metallic surface defect detection,Metal inspection,Precision | Recall | F1-score | mAP@0.50 | mAP@0.50-0.95 | FPS,yes,note body,other generative synthesis,Papers/Research/2023 - Metal Surface Defect Detection Based on Improved YOLOv5.md
doi:10.1109/cvpr52729.2023.00776,Multimodal Industrial Anomaly Detection via Hybrid Fusion,2023,research,CVPR 2023,Yue Wang | Jinlong Peng | Jiangning Zhang | Ran Yi | Yabiao Wang | Chengjie Wang,10.1109/CVPR52729.2023.00776,,https://doi.org/10.1109/CVPR52729.2023.00776,processed,MVTec3D,MVTec3D,MVTec3D,Multi-3D-Memory | Unsupervised anomaly detection | Vision Transformer | Point Transformer,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC | AU-PRO,yes,note body,simulation,Papers/Research/2023 - Multimodal Industrial Anomaly Detection via Hybrid Fusion.md
doi:10.1109/tip.2023.3293772,Omni-Frequency Channel-Selection Representations for Unsupervised Anomaly Detection,2023,research,IEEE Transactions on Image Processing,Yufei Liang | Jiangning Zhang | Shiwei Zhao | Runze Wu | Yong Liu | Shuwen Pan,10.1109/TIP.2023.3293772,,https://doi.org/10.1109/TIP.2023.3293772,processed,MVTec AD | DAGM2007 | KolektorSDD | CIFAR-10,DAGM2007 | KolektorSDD | MVTec AD,DAGM2007 | KolektorSDD | MVTec AD,OCR-GAN | Unsupervised anomaly detection | Adam,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC,yes,structured metadata,GAN-based generation,Papers/Research/2023 - Omni-Frequency Channel-Selection Representations for Unsupervised Anomaly Detection.md
doi:10.1109/cvpr52729.2023.00382,OmniAL: A Unified CNN Framework for Unsupervised Anomaly Localization,2023,research,CVPR 2023,Ying Zhao,10.1109/CVPR52729.2023.00382,,https://doi.org/10.1109/CVPR52729.2023.00382,processed,MVTec AD | VisA,MVTec AD | VisA,MVTec AD | VisA,OmniAL | Unsupervised anomaly localization | Defect synthesis | Adam,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC | Average precision | SSIM,yes,structured metadata,other generative synthesis,Papers/Research/2023 - OmniAL A Unified CNN Framework for Unsupervised Anomaly Localization.md
sha256:060a2fd798a5213aeef1375f32ab79d279f4c90ebd86f67d72dc158679ed847d,PreCaCycleGAN: Perceptual Capsule Cyclic Generative Adversarial Network for Industrial Defective Sample Augmentation,2023,research,Electronics,Jiaxing Yang | Ke Wang | Fengkai Luan | Yong Yin | Hu Zhang,10.3390/electronics12163475,,https://doi.org/10.3390/electronics12163475,processed,DAGM2007,DAGM2007,DAGM2007,PreCaCycleGAN | GAN | Data augmentation | Synthetic data generation,Industrial anomaly detection,Multi-industry anomaly detection,mAP@0.50 | Detection rate | False alarm rate,yes,structured metadata,GAN-based generation,Papers/Research/2023 - PreCaCycleGAN Perceptual Capsule Cyclic Generative Adversarial Network for Industrial Defective Sample Augmentation.md
doi:10.1109/tii.2022.3162846,PVEL-AD: A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection,2023,dataset,IEEE Transactions on Industrial Informatics,Binyi Su | Zhong Zhou | Haiyong Chen,10.1109/tii.2022.3162846,,https://doi.org/10.1109/TII.2022.3162846,processed,PVEL-AD,PVEL-AD,PVEL-AD,F-labelImg,Solar cell defect detection | Defect classification,Solar cells and photovoltaic,Average precision | mAP | IoU | mIoU | FPS,yes,note body,other generative synthesis,Papers/Dataset/2023 - PVEL-AD A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection.md
doi:10.1007/s44196-023-00328-0)/author(mingjing,Self-Supervised Learning for Industrial Image Anomaly Detection by Simulating Anomalous Samples,2023,research,International Journal of Computational Intelligence Systems,Mingjing Pei | Ningzhong Liu | Bing Zhao | Han Sun,10.1007/s44196-023-00328-0,,https://doi.org/10.1007/s44196-023-00328-0,processed,MVTec AD | BTAD,BTAD | MVTec AD,BTAD | MVTec AD,Defect synthesis | Data augmentation | Self-supervised learning,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC,yes,structured metadata,simulation,Papers/Research/2023 - Self-Supervised Learning for Industrial Image Anomaly Detection by Simulating Anomalous Samples.md
arxiv:2303.06673,SSGD: A Smartphone Screen Glass Dataset for Defect Detection,2023,dataset,arXiv,Haonan Han | Rui Yang | Shuyan Li | Runze Hu | Xiu Li,,2303.06673,https://arxiv.org/abs/2303.06673,processed,SSGD,SSGD,SSGD,Deep convolutional neural network | Vision Transformer | YOLOv5,Smartphone screen glass defect detection,Glass inspection | Semiconductor and electronics,Average precision | mAP@0.50 | GFLOPs | FPS,yes,note body,other generative synthesis,Papers/Dataset/2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection.md
