node_id,node_type,title,aliases,status,year,paper_type,availability,paper_key,doi,url,source_note
Papers/Dataset/2019 - Online PCB Defect Detector on a New PCB Defect Dataset,Papers,Online PCB Defect Detector on a New PCB Defect Dataset,,processed,2019,dataset,,sha256:0ccaa125d5cbfb8845ef22c1a2811275d98554ed37e64b5d819341181484fb96,,https://arxiv.org/abs/1902.06197,Papers/Dataset/2019 - Online PCB Defect Detector on a New PCB Defect Dataset.md
Papers/Dataset/2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features,Papers,An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features,An End-to-End Steel Surface Defect Detection Approach | DDN NEU-DET paper,processed,2020,dataset,,doi:10.1109/tim.2019.2915404,10.1109/TIM.2019.2915404,https://doi.org/10.1109/TIM.2019.2915404,Papers/Dataset/2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features.md
Papers/Dataset/2020 - Deep Metallic Surface Defect Detection The New Benchmark and Detection Network,Papers,Deep Metallic Surface Defect Detection: The New Benchmark and Detection Network,Deep Metallic Surface Defect Detection,processed,2020,dataset,,sha256:330bf36b67008058389ec82b0a477610a9e1197bf87d1048a76870430e091ba6,,https://doi.org/10.3390/s20061562,Papers/Dataset/2020 - Deep Metallic Surface Defect Detection The New Benchmark and Detection Network.md
Papers/Dataset/2020 - HRIPCB a Challenging Dataset for PCB Defects Detection and Classification,Papers,HRIPCB: a Challenging Dataset for PCB Defects Detection and Classification,HRIPCB | A PCB Dataset for Defects Detection and Classification | PKU-Market-PCB introducing paper,processed,2020,dataset,,doi:10.1049/joe.2019.1183,10.1049/joe.2019.1183,https://doi.org/10.1049/joe.2019.1183,Papers/Dataset/2020 - HRIPCB a Challenging Dataset for PCB Defects Detection and Classification.md
Papers/Dataset/2020 - Infrared Solar Module Dataset for Anomaly Detection,Papers,Infrared Solar Module Dataset for Anomaly Detection,InfraredSolarModules paper,processed,2020,dataset,,sha256:3ef9bb50acd5bfdf44ae18f850572b4c60608582a3f2ce7eb3863c330d093402,,,Papers/Dataset/2020 - Infrared Solar Module Dataset for Anomaly Detection.md
Papers/Dataset/2020 - Segmentation-Based Deep-Learning Approach for Surface-Defect Detection,Papers,Segmentation-Based Deep-Learning Approach for Surface-Defect Detection,Segmentation-based deep-learning approach for surface-defect detection,processed,2020,dataset,,doi:10.1007/s10845-019-01476-x,10.1007/s10845-019-01476-x,https://doi.org/10.1007/s10845-019-01476-x,Papers/Dataset/2020 - Segmentation-Based Deep-Learning Approach for Surface-Defect Detection.md
Papers/Dataset/2020 - Surface Defect Saliency of Magnetic Tile,Papers,Surface Defect Saliency of Magnetic Tile,Saliency of magnetic tile surface defects,processed,2020,dataset,,doi:10.1007/s00371-018-1588-5,10.1007/s00371-018-1588-5,https://doi.org/10.1007/s00371-018-1588-5,Papers/Dataset/2020 - Surface Defect Saliency of Magnetic Tile.md
Papers/Dataset/2021 - Industrial Machine Tool Component Surface Defect Dataset,Papers,Industrial Machine Tool Component Surface Defect Dataset,Industrial Machine Tool Element Surface Defect Dataset | BSData paper,processed,2021,dataset,,arxiv:2103.13003,,https://arxiv.org/abs/2103.13003,Papers/Dataset/2021 - Industrial Machine Tool Component Surface Defect Dataset.md
Papers/Dataset/2021 - The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,Papers,The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,processed,2021,dataset,,arxiv:2112.09045,,https://www.mvtec.com/company/research/datasets,Papers/Dataset/2021 - The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization.md
Papers/Dataset/2021 - The MVTec Anomaly Detection Dataset,Papers,The MVTec Anomaly Detection Dataset: A Comprehensive Real-World Dataset for Unsupervised Anomaly Detection,The MVTec Anomaly Detection Dataset,processed,2021,dataset,,doi:10.1007/s11263-020-01400-4,10.1007/s11263-020-01400-4,https://doi.org/10.1007/s11263-020-01400-4,Papers/Dataset/2021 - The MVTec Anomaly Detection Dataset.md
Papers/Dataset/2021 - X-SDD A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection,Papers,X-SDD: A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection,X-SDD: A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection,processed,2021,dataset,,doi:10.3390/sym13040706,10.3390/sym13040706,https://doi.org/10.3390/sym13040706,Papers/Dataset/2021 - X-SDD A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection.md
Papers/Dataset/2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,Papers,ZJU-Leaper: A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,ZJU-Leaper | ZJU-Leaper benchmark dataset,processed,2021,dataset,,doi:10.1109/tai.2021.3057027,10.1109/TAI.2021.3057027,https://doi.org/10.1109/TAI.2021.3057027,Papers/Dataset/2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study.md
Papers/Dataset/2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,Papers,Beyond Dents and Scratches: Logical Constraints in Unsupervised Anomaly Detection and Localization,Beyond Dents and Scratches: Logical Constraints in Unsupervised Anomaly Detection and Localization,processed,2022,dataset,,doi:10.1007/s11263-022-01578-9,10.1007/s11263-022-01578-9,https://doi.org/10.1007/s11263-022-01578-9,Papers/Dataset/2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization.md
Papers/Dataset/2022 - SolarDK A high-resolution urban solar panel image classification and localization dataset,Papers,SolarDK: A high-resolution urban solar panel image classification and localization dataset,SolarDK | SolarDK paper | SolarDK: A high-resolution urban solar panel image classification and localisation dataset,processed,2022,dataset,,sha256:12fae438f8e138b106917e3059bac1588e2da97e8824b53a7e1963a7c9ef80b7,,https://arxiv.org/abs/2212.01260,Papers/Dataset/2022 - SolarDK A high-resolution urban solar panel image classification and localization dataset.md
Papers/Dataset/2023 - A benchmark dataset for defect detection and classification in electroluminescence images of PV modules using semantic segmentation,Papers,A benchmark dataset for defect detection and classification in electroluminescence images of PV modules using semantic segmentation,Benchmark dataset for defect detection and classification in EL images of PV modules,processed,2023,dataset,,sha256:51e13055e62ae617098591374e2be639ef0e1498d7cc36fb3c3ee00e4d87a83d,10.1016/j.sasc.2023.200048,https://doi.org/10.1016/j.sasc.2023.200048,Papers/Dataset/2023 - A benchmark dataset for defect detection and classification in electroluminescence images of PV modules using semantic segmentation.md
Papers/Dataset/2023 - CarDD A New Dataset for Vision-Based Car Damage Detection,Papers,CarDD: A New Dataset for Vision-Based Car Damage Detection,CarDD paper,processed,2023,dataset,,doi:10.1109/tits.2023.3258480,10.1109/tits.2023.3258480,https://doi.org/10.1109/TITS.2023.3258480,Papers/Dataset/2023 - CarDD A New Dataset for Vision-Based Car Damage Detection.md
Papers/Dataset/2023 - Few-shot semantic segmentation for industrial defect recognition,Papers,Few-shot semantic segmentation for industrial defect recognition,IndustrialNet paper,processed,2023,dataset,,doi:10.1016/j.compind.2023.103901,10.1016/j.compind.2023.103901,https://doi.org/10.1016/j.compind.2023.103901,Papers/Dataset/2023 - Few-shot semantic segmentation for industrial defect recognition.md
Papers/Dataset/2023 - PVEL-AD A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection,Papers,PVEL-AD: A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection,PVEL-AD,processed,2023,dataset,,doi:10.1109/tii.2022.3162846,10.1109/tii.2022.3162846,https://doi.org/10.1109/TII.2022.3162846,Papers/Dataset/2023 - PVEL-AD A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection.md
Papers/Dataset/2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection,Papers,SSGD: A Smartphone Screen Glass Dataset for Defect Detection,SSGD paper,processed,2023,dataset,,arxiv:2303.06673,,https://arxiv.org/abs/2303.06673,Papers/Dataset/2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection.md
Papers/Dataset/2024 - A Dataset for Deep Learning Based Detection of Printed Circuit Board Surface Defect,Papers,A Dataset for Deep Learning Based Detection of Printed Circuit Board Surface Defect,A Dataset for Deep Learning Based Detection of Printed Circuit Board Surface Defect | DsPCBSD+ paper,processed,2024,dataset,,doi:10.1038/s41597-024-03656-8,10.1038/s41597-024-03656-8,https://doi.org/10.1038/s41597-024-03656-8,Papers/Dataset/2024 - A Dataset for Deep Learning Based Detection of Printed Circuit Board Surface Defect.md
Papers/Dataset/2024 - A Novel Dataset for Fabric Defect Detection Bridging Gaps in Anomaly Detection,Papers,A Novel Dataset for Fabric Defect Detection: Bridging Gaps in Anomaly Detection,A Novel Dataset for Fabric Defect Detection | Lusitano dataset paper,processed,2024,dataset,,sha256:a70b9c18d4e2d72ce127d13a58a1e0fd54443ab290d220fb4e4718579cd22254,10.3390/app14125298,https://doi.org/10.3390/app14125298,Papers/Dataset/2024 - A Novel Dataset for Fabric Defect Detection Bridging Gaps in Anomaly Detection.md
Papers/Dataset/2024 - Benchmark for Welding Gun Fault Prediction with Multivariate Time Series Data,Papers,Benchmark for Welding Gun Fault Prediction with Multivariate Time Series Data,Benchmark for welding gun fault prediction with multivariate time series data,processed,2024,dataset,,doi:10.1038/s41597-024-02914-z)/producer(itext,10.1038/s41597-024-02914-z,https://doi.org/10.1038/s41597-024-02914-z,Papers/Dataset/2024 - Benchmark for Welding Gun Fault Prediction with Multivariate Time Series Data.md
Papers/Dataset/2024 - FabricSpotDefect An Annotated Dataset for Identifying Spot Defects in Different Fabric Types,Papers,FabricSpotDefect: An annotated dataset for identifying spot defects in different fabric types,FabricSpotDefect dataset paper,processed,2024,dataset,,doi:10.17632/6574nhzm8x.1,10.1016/j.dib.2024.111165,https://doi.org/10.1016/j.dib.2024.111165,Papers/Dataset/2024 - FabricSpotDefect An Annotated Dataset for Identifying Spot Defects in Different Fabric Types.md
"Papers/Dataset/2024 - LoHi-WELD A Novel Industrial Dataset for Weld Defect Detection and Classification, a Deep Learning Study, and Future Perspectives",Papers,"LoHi-WELD: A Novel Industrial Dataset for Weld Defect Detection and Classification, a Deep Learning Study, and Future Perspectives",LoHi-WELD,processed,2024,dataset,,doi:10.1109/access.2024.3407019,10.1109/ACCESS.2024.3407019,https://doi.org/10.1109/ACCESS.2024.3407019,"Papers/Dataset/2024 - LoHi-WELD A Novel Industrial Dataset for Weld Defect Detection and Classification, a Deep Learning Study, and Future Perspectives.md"
Papers/Dataset/2024 - Open Stamped Parts Dataset,Papers,Open Stamped Parts Dataset,OSPD paper | Open Stamped Parts Dataset,processed,2024,dataset,,arxiv:2403.10369,,https://arxiv.org/abs/2403.10369,Papers/Dataset/2024 - Open Stamped Parts Dataset.md
Papers/Dataset/2024 - Real-IAD A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,Papers,Real-IAD: A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,Real-IAD,processed,2024,dataset,,doi:10.1109/cvpr52733.2024.02159,10.1109/cvpr52733.2024.02159,https://realiad4ad.github.io/Real-IAD,Papers/Dataset/2024 - Real-IAD A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection.md
Papers/Dataset/2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,Papers,A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,Gearbox components remanufacturing inspection dataset paper,processed,2025,dataset,,arxiv:2511.15440,10.1109/ETFA65518.2025.11205777,https://doi.org/10.1109/ETFA65518.2025.11205777,Papers/Dataset/2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing.md
Papers/Dataset/2025 - A Dataset for Surface Defect Detection on Complex Structured Parts Based on Photometric Stereo,Papers,A Dataset for Surface Defect Detection on Complex Structured Parts Based on Photometric Stereo,A Dataset for Surface Defect Detection on Complex Structured Parts Based on Photometric Stereo,processed,2025,dataset,,doi:10.1038/s41597-025-04454-6,10.1038/s41597-025-04454-6,https://doi.org/10.1038/s41597-025-04454-6,Papers/Dataset/2025 - A Dataset for Surface Defect Detection on Complex Structured Parts Based on Photometric Stereo.md
Papers/Dataset/2025 - CSDD A Benchmark Dataset for Casting Surface Defect Detection and Segmentation,Papers,CSDD: A Benchmark Dataset for Casting Surface Defect Detection and Segmentation,CSDD | CSDD benchmark dataset,processed,2025,dataset,,doi:10.1109/jas.2025.125228,10.1109/JAS.2025.125228,https://doi.org/10.1109/JAS.2025.125228,Papers/Dataset/2025 - CSDD A Benchmark Dataset for Casting Surface Defect Detection and Segmentation.md
Papers/Dataset/2025 - Dataset for Defect Detection in Textile Manufacturing,Papers,Dataset for defect detection in textile manufacturing,Batavia and Sarga woven fabric dataset paper,processed,2025,dataset,,doi:10.36443/10259/9965,10.1016/j.dib.2025.111451,https://doi.org/10.1016/j.dib.2025.111451,Papers/Dataset/2025 - Dataset for Defect Detection in Textile Manufacturing.md
Papers/Dataset/2025 - HSS-IAD A Heterogeneous Same-Sort Industrial Anomaly Detection Dataset,Papers,HSS-IAD: A Heterogeneous Same-Sort Industrial Anomaly Detection Dataset,HSS-IAD: A Heterogeneous Same-Sort Industrial Anomaly Detection Dataset,processed,2025,dataset,,doi:10.1109/icme59968.2025.11208914,10.1109/icme59968.2025.11208914,,Papers/Dataset/2025 - HSS-IAD A Heterogeneous Same-Sort Industrial Anomaly Detection Dataset.md
Papers/Dataset/2025 - Real-IAD D3 A Real-World 2D Pseudo-3D 3D Dataset for Industrial Anomaly Detection,Papers,Real-IAD D3: A Real-World 2D/Pseudo-3D/3D Dataset for Industrial Anomaly Detection,Real-IAD D3 | Real-IAD D³,processed,2025,dataset,,sha256:f88f5bc6bb3b92ec6e8e59324f5b7bc31c71be8d3c4c1adc43ad437be0a1aac6,,,Papers/Dataset/2025 - Real-IAD D3 A Real-World 2D Pseudo-3D 3D Dataset for Industrial Anomaly Detection.md
Papers/Dataset/2025 - The MVTec AD 2 Dataset Advanced Scenarios for Unsupervised Anomaly Detection,Papers,The MVTec AD 2 Dataset Advanced Scenarios for Unsupervised Anomaly Detection,The MVTec AD 2 Dataset Advanced Scenarios for Unsupervised Anomaly Detection,processed,2025,dataset,,sha256:bf9df9d7f71e2775647952b36cdea2431f48e33ec20aa254fca82029791479a9,,,Papers/Dataset/2025 - The MVTec AD 2 Dataset Advanced Scenarios for Unsupervised Anomaly Detection.md
Papers/Other/1996 - TILDA Reference Dataset Report,Papers,TILDA Reference Dataset Report,Ein Referenzdatensatz zur Evaluierung von Sichtpruefungsverfahren fuer Textiloberflaechen | TILDA-ein Referenzdatensatz zur Evaluierung von Sichtpruefungsverfahren fuer Textiloberflaechen,processed,1996,other,,sha256:01f65f1d75a4b6522335c0417886d64ee517acda2d4fc0934aa0142919b56f55,,https://lmb.informatik.uni-freiburg.de/resources/datasets/tilda.en.html,Papers/Other/1996 - TILDA Reference Dataset Report.md
Papers/Other/1998 - Interactive-engagement versus Traditional Methods,Papers,Interactive-engagement versus traditional methods: A six-thousand-student survey of mechanics test data for introductory physics courses,Interactive-engagement versus traditional methods | Hake 1998 interactive engagement,processed,1998,other,,hake1998interactive,10.1119/1.18809,http://dx.doi.org/10.1119/1.18809,Papers/Other/1998 - Interactive-engagement versus Traditional Methods.md
Papers/Other/2007 - Normalized Change,Papers,Normalized change,Normalized Change,processed,2007,other,,marx2007normalized,10.1119/1.2372468,http://dx.doi.org/10.1119/1.2372468,Papers/Other/2007 - Normalized Change.md
Papers/Research/1998 - Gradient-Based Learning Applied to Document Recognition,Papers,Gradient-Based Learning Applied to Document Recognition,LeNet-5 paper,processed,1998,research,,doi:10.1109/5.726791,10.1109/5.726791,http://www.research.att.com/~yann/ocr/mnist,Papers/Research/1998 - Gradient-Based Learning Applied to Document Recognition.md
Papers/Research/2001 - Random Forests,Papers,Random Forests,,processed,2001,research,,sha256:3ad0f6182280e8c0f763527be85d41bce08f6e4d1de3f8c674098f0de31138ce,,,Papers/Research/2001 - Random Forests.md
Papers/Research/2003 - Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis,Papers,Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis,Best Practices for CNNs Applied to Visual Document Analysis,processed,2003,research,,sha256:810398ec32975a2bc86f9e06a1e639967c540a49de1e4774f63c1e862a7fe0bb,,,Papers/Research/2003 - Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis.md
Papers/Research/2011 - Non-parametric Texture Defect Detection Using Weibull Features,Papers,Non-parametric texture defect detection using Weibull features,Non-parametric texture defect detection using Weibull features,processed,2011,research,,sha256:01828060a9391e2dcf9162f58d23552135344327e64cf15437d445093c46d119,,,Papers/Research/2011 - Non-parametric Texture Defect Detection Using Weibull Features.md
Papers/Research/2014 - Generative Adversarial Nets,Papers,Generative Adversarial Nets,Goodfellow et al. 2014 GAN | Original GAN paper,processed,2014,research,,arxiv:1406.2661,10.48550/arXiv.1406.2661,https://arxiv.org/abs/1406.2661,Papers/Research/2014 - Generative Adversarial Nets.md
Papers/Research/2015 - Adam A Method for Stochastic Optimization,Papers,Adam: A Method for Stochastic Optimization,Adam A Method for Stochastic Optimization,processed,2015,research,,arxiv:1412.6980,,https://arxiv.org/abs/1412.6980,Papers/Research/2015 - Adam A Method for Stochastic Optimization.md
Papers/Research/2015 - Deep Unsupervised Learning using Nonequilibrium Thermodynamics,Papers,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,Deep Unsupervised Learning using Nonequilibrium Thermodynamics | Diffusion Probabilistic Models,processed,2015,research,,sha256:29131f03cd4688d25283b805c91f801948f2a93187c6f058512d84c3b672ba54,10.48550/arxiv.1503.03585,http://arxiv.org/abs/1503.03585,Papers/Research/2015 - Deep Unsupervised Learning using Nonequilibrium Thermodynamics.md
Papers/Research/2016 - Deep Residual Learning for Image Recognition,Papers,Deep Residual Learning for Image Recognition,,processed,2016,research,,arxiv:2250.01000,,,Papers/Research/2016 - Deep Residual Learning for Image Recognition.md
Papers/Research/2016 - Predict Failures in Production Lines A Two-stage Approach with Clustering and Supervised Learning,Papers,Predict Failures in Production Lines: A Two-stage Approach with Clustering and Supervised Learning,Predict Failures in Production Lines | A Two-stage Approach with Clustering and Supervised Learning,processed,2016,research,,doi:10.1109/bigdata.2016.7840832,10.1109/bigdata.2016.7840832,https://doi.org/10.1109/bigdata.2016.7840832,Papers/Research/2016 - Predict Failures in Production Lines A Two-stage Approach with Clustering and Supervised Learning.md
Papers/Research/2017 - Attention Is All You Need,Papers,Attention Is All You Need,,processed,2017,research,,arxiv:1222.20000,,,Papers/Research/2017 - Attention Is All You Need.md
Papers/Research/2017 - Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,Papers,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,Domain Randomization for Sim-to-Real Transfer,processed,2017,research,,sha256:a4fdac3d13d95201c141f138e812f197984cf2b96ac86ea1a08c2df753e4d6ce,,,Papers/Research/2017 - Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World.md
Papers/Research/2017 - Learning from Simulated and Unsupervised Images through Adversarial Training,Papers,Learning from Simulated and Unsupervised Images through Adversarial Training,Simulated+Unsupervised learning | SimGAN,processed,2017,research,,arxiv:1024.02000,,,Papers/Research/2017 - Learning from Simulated and Unsupervised Images through Adversarial Training.md
Papers/Research/2017 - Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks,Papers,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks,CycleGAN paper,processed,2017,research,,arxiv:2863.01000,,https://arxiv.org/abs/1703.10593,Papers/Research/2017 - Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks.md
Papers/Research/2018 - Generalization without Systematicity On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,Papers,Generalization without Systematicity: On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,Generalization without Systematicity | SCAN paper,processed,2018,research,,arxiv:1705.03122,,https://github.com/brendenlake/SCAN,Papers/Research/2018 - Generalization without Systematicity On the Compositional Skills of Sequence-to-Sequence Recurrent Networks.md
Papers/Research/2018 - Object Detection using Domain Randomization and Generative Adversarial Refinement of Synthetic Images,Papers,Object Detection using Domain Randomization and Generative Adversarial Refinement of Synthetic Images,,processed,2018,research,,arxiv:1805.11778,,https://arxiv.org/abs/1805.11778,Papers/Research/2018 - Object Detection using Domain Randomization and Generative Adversarial Refinement of Synthetic Images.md
Papers/Research/2018 - RenderGAN Generating Realistic Labeled Data,Papers,RenderGAN: Generating Realistic Labeled Data,RenderGAN Generating Realistic Labeled Data,processed,2018,research,,doi:10.3389/frobt.2018.00066,10.3389/frobt.2018.00066,https://doi.org/10.3389/frobt.2018.00066,Papers/Research/2018 - RenderGAN Generating Realistic Labeled Data.md
Papers/Research/2018 - Training Deep Networks with Synthetic Data Bridging the Reality Gap by Domain Randomization,Papers,Training Deep Networks with Synthetic Data: Bridging the Reality Gap by Domain Randomization,Training Deep Networks with Synthetic Data,processed,2018,research,,sha256:ca6ab579854a235332f5691b8271953d9a13f88ba596d5a387c91da3332ac2cf,,,Papers/Research/2018 - Training Deep Networks with Synthetic Data Bridging the Reality Gap by Domain Randomization.md
Papers/Research/2019 - BERT Pre-training of Deep Bidirectional Transformers for Language Understanding,Papers,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,BERT Pre-training of Deep Bidirectional Transformers for Language Understanding,processed,2019,research,,doi:10.18653/v1/s17-2001,,https://arxiv.org/abs/1810.04805,Papers/Research/2019 - BERT Pre-training of Deep Bidirectional Transformers for Language Understanding.md
Papers/Research/2019 - Classification of Wafer Maps Defect Based on Deep Learning Methods With Small Amount of Data,Papers,Classification of Wafer Maps Defect Based on Deep Learning Methods With Small Amount of Data,,processed,2019,research,,doi:10.1109/ent47717.2019.9030550,10.1109/ent47717.2019.9030550,https://doi.org/10.1109/ent47717.2019.9030550,Papers/Research/2019 - Classification of Wafer Maps Defect Based on Deep Learning Methods With Small Amount of Data.md
Papers/Research/2019 - Structured Domain Randomization Bridging the Reality Gap by Context-Aware Synthetic Data,Papers,Structured Domain Randomization: Bridging the Reality Gap by Context-Aware Synthetic Data,Structured Domain Randomization | SDR,processed,2019,research,,sha256:b074dfc56bd6f325dd96157fca19476502f3030b0dcaf2881f6c2badbba4d872,,,Papers/Research/2019 - Structured Domain Randomization Bridging the Reality Gap by Context-Aware Synthetic Data.md
Papers/Research/2020 - A Light-Weight Neural Network for Wafer Map Classification Based on Data Augmentation,Papers,A Light-Weight Neural Network for Wafer Map Classification Based on Data Augmentation,,processed,2020,research,,doi:10.1109/tsm.2020.3013004,10.1109/TSM.2020.3013004,https://doi.org/10.1109/TSM.2020.3013004,Papers/Research/2020 - A Light-Weight Neural Network for Wafer Map Classification Based on Data Augmentation.md
Papers/Research/2020 - Defect Image Sample Generation With GAN for Improving Defect Recognition,Papers,Defect Image Sample Generation With GAN for Improving Defect Recognition,Defect Image Sample Generation With GAN for Improving Defect Recognition,processed,2020,research,,doi:10.1109/tase.2020.2967415,10.1109/tase.2020.2967415,https://doi.org/10.1109/TASE.2020.2967415,Papers/Research/2020 - Defect Image Sample Generation With GAN for Improving Defect Recognition.md
Papers/Research/2020 - Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition,Papers,Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition,Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition,processed,2020,research,,doi:10.1109/tsm.2020.3020985,10.1109/tsm.2020.3020985,https://doi.org/10.1109/TSM.2020.3020985,Papers/Research/2020 - Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition.md
Papers/Research/2020 - Denoising Diffusion Probabilistic Models,Papers,Denoising Diffusion Probabilistic Models,DDPM | Denoising Diffusion Probabilistic Models,processed,2020,research,,sha256:cb471d4c0063cad56f8d74b6a72fa7dad1677f8423a0a81349487a63bb58d3de,10.48550/arxiv.2006.11239,http://arxiv.org/abs/2006.11239,Papers/Research/2020 - Denoising Diffusion Probabilistic Models.md
Papers/Research/2020 - PGA-Net Pyramid Feature Fusion and Global Context Attention Network for Automated Surface Defect Detection,Papers,PGA-Net: Pyramid Feature Fusion and Global Context Attention Network for Automated Surface Defect Detection,PGA-Net,processed,2020,research,,doi:10.1109/tii.2019.2958826,10.1109/tii.2019.2958826,https://doi.org/10.1109/TII.2019.2958826,Papers/Research/2020 - PGA-Net Pyramid Feature Fusion and Global Context Attention Network for Automated Surface Defect Detection.md
Papers/Research/2020 - Self-Supervised Representation Learning for Wafer Bin Map Defect Pattern Classification,Papers,Self-Supervised Representation Learning for Wafer Bin Map Defect Pattern Classification,WaPIRL,processed,2020,research,,doi:10.1109/tsm.2020.3038165,10.1109/TSM.2020.3038165,https://doi.org/10.1109/TSM.2020.3038165,Papers/Research/2020 - Self-Supervised Representation Learning for Wafer Bin Map Defect Pattern Classification.md
Papers/Research/2020 - Using GAN to Improve CNN Performance of Wafer Map Defect Type Classification,Papers,Using GAN to Improve CNN Performance of Wafer Map Defect Type Classification: Yield Enhancement,Using GAN to Improve CNN Performance of Wafer Map Defect Type Classification,processed,2020,research,,sha256:e6d97def995c62d0b1f55a748532dc460faeb718f73f36f24325368063932a24,10.1109/ASMC49169.2020.9185193,https://doi.org/10.1109/ASMC49169.2020.9185193,Papers/Research/2020 - Using GAN to Improve CNN Performance of Wafer Map Defect Type Classification.md
Papers/Research/2020 - Weakly-Supervised Defect Segmentation on Periodic Textures Using CycleGAN,Papers,Weakly-Supervised Defect Segmentation on Periodic Textures Using CycleGAN,Weakly-Supervised Defect Segmentation on Periodic Textures Using CycleGAN,processed,2020,research,,doi:10.1109/access.2020.3024554,10.1109/access.2020.3024554,https://doi.org/10.1109/ACCESS.2020.3024554,Papers/Research/2020 - Weakly-Supervised Defect Segmentation on Periodic Textures Using CycleGAN.md
Papers/Research/2021 - Comprehensive Device Modelling and Performance Analysis of MASnI3 Based Perovskite Solar Cells,Papers,"Comprehensive Device Modelling and Performance Analysis of MASnI3 Based Perovskite Solar Cells with Diverse ETM, HTM and Back Metal Contacts",MASnI3 Based Perovskite Solar Cells with Diverse ETM HTM and Back Metal Contacts,processed,2021,research,,sha256:a23ad9f7051c2d33737c3d6b5fa881a9ca9430f3ad3901716d352445970e82d4,10.1016/j.solener.2021.01.058,https://doi.org/10.1016/j.solener.2021.01.058,Papers/Research/2021 - Comprehensive Device Modelling and Performance Analysis of MASnI3 Based Perovskite Solar Cells.md
Papers/Research/2021 - CutPaste Self-Supervised Learning for Anomaly Detection and Localization,Papers,CutPaste: Self-Supervised Learning for Anomaly Detection and Localization,CutPaste: Self-Supervised Learning for Anomaly Detection and Localization,processed,2021,research,,arxiv:2104.04015,,https://arxiv.org/abs/2104.04015,Papers/Research/2021 - CutPaste Self-Supervised Learning for Anomaly Detection and Localization.md
Papers/Research/2021 - Defect Detection in CT Scans of Cast Aluminum Parts,Papers,Defect detection in CT scans of cast aluminum parts: A machine vision perspective,Defect detection in CT scans of cast aluminum parts,processed,2021,research,,sha256:d156e2f050ef05c18b83269be18f52cde19796faf0e023c3d04bc6f37d330b99,,https://doi.org/10.1016/j.neucom.2021.04.094,Papers/Research/2021 - Defect Detection in CT Scans of Cast Aluminum Parts.md
